Run,Age,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_count,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Genotype,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,strain,treatment
SRR8641755,Postnatal week 10,RNA-Seq,120,12263760,PRJNA524496,SAMN11027565,6454612,0,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5440045,Nos3-/-,GSM3631697,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-03-10T00:00:00Z,GSM3631697,"single-cell suspension from whole glomerulus\, kidney",SRP187015,C57BL/6,Diabetes
SRR8641756,Postnatal week 10,RNA-Seq,120,11285280,PRJNA524496,SAMN11027564,5957261,0,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5440046,Nos3-/-,GSM3631698,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-03-10T00:00:00Z,GSM3631698,"single-cell suspension from whole glomerulus\, kidney",SRP187015,C57BL/6,Diabetes
SRR8641757,Postnatal week 10,RNA-Seq,120,12447840,PRJNA524496,SAMN11027563,6565285,0,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5440047,Nos3-/-,GSM3631699,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-03-10T00:00:00Z,GSM3631699,"single-cell suspension from whole glomerulus\, kidney",SRP187015,C57BL/6,Diabetes
SRR8641758,Postnatal week 10,RNA-Seq,120,18284160,PRJNA524496,SAMN11027562,9581615,0,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5440048,Nos3-/-,GSM3631700,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-03-10T00:00:00Z,GSM3631700,"single-cell suspension from whole glomerulus\, kidney",SRP187015,C57BL/6,Diabetes
SRR8641759,Postnatal week 10,RNA-Seq,120,11078640,PRJNA524496,SAMN11027561,5845772,0,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5440049,Nos3-/-,GSM3631701,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-03-10T00:00:00Z,GSM3631701,"single-cell suspension from whole glomerulus\, kidney",SRP187015,C57BL/6,Diabetes
SRR8641760,Postnatal week 10,RNA-Seq,120,10340640,PRJNA524496,SAMN11027560,5456415,0,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5440050,Nos3-/-,GSM3631702,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-03-10T00:00:00Z,GSM3631702,"single-cell suspension from whole glomerulus\, kidney",SRP187015,C57BL/6,Diabetes
SRR8641761,Postnatal week 10,RNA-Seq,120,11231040,PRJNA524496,SAMN11027559,5914752,0,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5440051,Nos3-/-,GSM3631703,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-03-10T00:00:00Z,GSM3631703,"single-cell suspension from whole glomerulus\, kidney",SRP187015,C57BL/6,Diabetes
SRR8641762,Postnatal week 10,RNA-Seq,120,11926080,PRJNA524496,SAMN11027558,6285529,0,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5440052,Nos3-/-,GSM3631704,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-03-10T00:00:00Z,GSM3631704,"single-cell suspension from whole glomerulus\, kidney",SRP187015,C57BL/6,Diabetes
SRR8641763,Postnatal week 10,RNA-Seq,120,12558720,PRJNA524496,SAMN11027557,6619419,0,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5440053,Nos3-/-,GSM3631705,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-03-10T00:00:00Z,GSM3631705,"single-cell suspension from whole glomerulus\, kidney",SRP187015,C57BL/6,Diabetes
SRR8641764,Postnatal week 10,RNA-Seq,120,13700760,PRJNA524496,SAMN11027556,7197336,0,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5440054,Nos3-/-,GSM3631706,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-03-10T00:00:00Z,GSM3631706,"single-cell suspension from whole glomerulus\, kidney",SRP187015,C57BL/6,Diabetes
SRR8641765,Postnatal week 10,RNA-Seq,120,10991280,PRJNA524496,SAMN11027555,5807310,0,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5440055,Nos3-/-,GSM3631707,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-03-10T00:00:00Z,GSM3631707,"single-cell suspension from whole glomerulus\, kidney",SRP187015,C57BL/6,Diabetes
SRR8641766,Postnatal week 10,RNA-Seq,120,11633160,PRJNA524496,SAMN11027554,6127327,0,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5440056,Nos3-/-,GSM3631708,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-03-10T00:00:00Z,GSM3631708,"single-cell suspension from whole glomerulus\, kidney",SRP187015,C57BL/6,Diabetes
SRR8641767,Postnatal week 10,RNA-Seq,120,11008680,PRJNA524496,SAMN11027553,5809592,0,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5440057,Nos3-/-,GSM3631709,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-03-10T00:00:00Z,GSM3631709,"single-cell suspension from whole glomerulus\, kidney",SRP187015,C57BL/6,Diabetes
SRR8641768,Postnatal week 10,RNA-Seq,120,10577280,PRJNA524496,SAMN11027552,5589635,0,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5440058,Nos3-/-,GSM3631710,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-03-10T00:00:00Z,GSM3631710,"single-cell suspension from whole glomerulus\, kidney",SRP187015,C57BL/6,Diabetes
SRR8641769,Postnatal week 10,RNA-Seq,120,12793560,PRJNA524496,SAMN11027551,6750172,0,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5440059,Nos3-/-,GSM3631711,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-03-10T00:00:00Z,GSM3631711,"single-cell suspension from whole glomerulus\, kidney",SRP187015,C57BL/6,Diabetes
SRR8641770,Postnatal week 10,RNA-Seq,120,10651680,PRJNA524496,SAMN11027550,5625658,0,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5440060,Nos3-/-,GSM3631712,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-03-10T00:00:00Z,GSM3631712,"single-cell suspension from whole glomerulus\, kidney",SRP187015,C57BL/6,Diabetes
SRR8641771,Postnatal week 10,RNA-Seq,120,1518000,PRJNA524496,SAMN11027549,872854,0,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5440061,Nos3-/-,GSM3631713,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-03-10T00:00:00Z,GSM3631713,"single-cell suspension from whole glomerulus\, kidney",SRP187015,C57BL/6,Diabetes
SRR8641772,Postnatal week 10,RNA-Seq,120,15746880,PRJNA524496,SAMN11027548,8307468,0,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5440062,Nos3-/-,GSM3631714,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-03-10T00:00:00Z,GSM3631714,"single-cell suspension from whole glomerulus\, kidney",SRP187015,C57BL/6,Diabetes
SRR8641773,Postnatal week 10,RNA-Seq,120,8871960,PRJNA524496,SAMN11027654,4706813,0,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5440063,Nos3-/-,GSM3631715,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-03-10T00:00:00Z,GSM3631715,"single-cell suspension from whole glomerulus\, kidney",SRP187015,C57BL/6,Diabetes
SRR8641774,Postnatal week 10,RNA-Seq,120,12978720,PRJNA524496,SAMN11027653,6854491,0,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5440064,Nos3-/-,GSM3631716,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-03-10T00:00:00Z,GSM3631716,"single-cell suspension from whole glomerulus\, kidney",SRP187015,C57BL/6,Diabetes
SRR8641775,Postnatal week 10,RNA-Seq,120,14343120,PRJNA524496,SAMN11027652,7569591,0,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5440065,Nos3-/-,GSM3631717,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-03-10T00:00:00Z,GSM3631717,"single-cell suspension from whole glomerulus\, kidney",SRP187015,C57BL/6,Diabetes
SRR8641776,Postnatal week 10,RNA-Seq,120,10266960,PRJNA524496,SAMN11027651,5426808,0,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5440066,Nos3-/-,GSM3631718,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-03-10T00:00:00Z,GSM3631718,"single-cell suspension from whole glomerulus\, kidney",SRP187015,C57BL/6,Diabetes
SRR8641777,Postnatal week 10,RNA-Seq,120,9449760,PRJNA524496,SAMN11027650,5010607,0,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5440067,Nos3-/-,GSM3631719,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-03-10T00:00:00Z,GSM3631719,"single-cell suspension from whole glomerulus\, kidney",SRP187015,C57BL/6,Diabetes
SRR8641778,Postnatal week 10,RNA-Seq,120,10714440,PRJNA524496,SAMN11027649,5669119,0,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5440068,Nos3-/-,GSM3631720,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-03-10T00:00:00Z,GSM3631720,"single-cell suspension from whole glomerulus\, kidney",SRP187015,C57BL/6,Diabetes
SRR8641779,Postnatal week 10,RNA-Seq,120,14178720,PRJNA524496,SAMN11027648,7459806,0,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5440069,Nos3-/-,GSM3631721,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-03-10T00:00:00Z,GSM3631721,"single-cell suspension from whole glomerulus\, kidney",SRP187015,C57BL/6,Diabetes
SRR8641780,Postnatal week 10,RNA-Seq,120,12163440,PRJNA524496,SAMN11027647,6425188,0,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5440070,Nos3-/-,GSM3631722,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-03-10T00:00:00Z,GSM3631722,"single-cell suspension from whole glomerulus\, kidney",SRP187015,C57BL/6,Diabetes
SRR8641781,Postnatal week 10,RNA-Seq,120,9565800,PRJNA524496,SAMN11027646,5075485,0,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5440071,Nos3-/-,GSM3631723,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-03-10T00:00:00Z,GSM3631723,"single-cell suspension from whole glomerulus\, kidney",SRP187015,C57BL/6,Diabetes
SRR8641782,Postnatal week 10,RNA-Seq,120,10491960,PRJNA524496,SAMN11027645,5481537,0,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5440072,Nos3-/-,GSM3631724,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-03-10T00:00:00Z,GSM3631724,"single-cell suspension from whole glomerulus\, kidney",SRP187015,C57BL/6,Diabetes
SRR8641783,Postnatal week 10,RNA-Seq,120,8261760,PRJNA524496,SAMN11027694,4386094,0,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5440073,Nos3-/-,GSM3631725,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-03-10T00:00:00Z,GSM3631725,"single-cell suspension from whole glomerulus\, kidney",SRP187015,C57BL/6,Diabetes
SRR8641784,Postnatal week 10,RNA-Seq,120,9333840,PRJNA524496,SAMN11027693,4944216,0,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5440074,Nos3-/-,GSM3631726,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-03-10T00:00:00Z,GSM3631726,"single-cell suspension from whole glomerulus\, kidney",SRP187015,C57BL/6,Diabetes
SRR8641785,Postnatal week 10,RNA-Seq,120,7290000,PRJNA524496,SAMN11027692,3871635,0,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5440075,Nos3-/-,GSM3631727,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-03-10T00:00:00Z,GSM3631727,"single-cell suspension from whole glomerulus\, kidney",SRP187015,C57BL/6,Diabetes
SRR8641786,Postnatal week 10,RNA-Seq,120,9463320,PRJNA524496,SAMN11027691,5014156,0,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5440076,Nos3-/-,GSM3631728,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-03-10T00:00:00Z,GSM3631728,"single-cell suspension from whole glomerulus\, kidney",SRP187015,C57BL/6,Diabetes
SRR8641787,Postnatal week 10,RNA-Seq,120,9443520,PRJNA524496,SAMN11027690,5004176,0,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5440077,Nos3-/-,GSM3631729,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-03-10T00:00:00Z,GSM3631729,"single-cell suspension from whole glomerulus\, kidney",SRP187015,C57BL/6,Diabetes
SRR8641788,Postnatal week 10,RNA-Seq,120,8681280,PRJNA524496,SAMN11027689,4604422,0,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5440078,Nos3-/-,GSM3631730,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-03-10T00:00:00Z,GSM3631730,"single-cell suspension from whole glomerulus\, kidney",SRP187015,C57BL/6,Diabetes
SRR8641789,Postnatal week 10,RNA-Seq,120,8313480,PRJNA524496,SAMN11027688,4415284,0,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5440079,Nos3-/-,GSM3631731,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-03-10T00:00:00Z,GSM3631731,"single-cell suspension from whole glomerulus\, kidney",SRP187015,C57BL/6,Diabetes
